BTOK1,ECOK1,BTOK2,ECOK2,BTOK3,ECOK3
1,1,1,1,1,1
1,1,1,1,1,0
1,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,0,1
0,0,0,0,0,0
1,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,0,0,0
1,1,1,1,0,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
0,0,0,0,0,0
1,1,1,1,0,1
1,1,1,1,0,1
1,1,1,1,0,0
0,1,0,0,0,0
0,1,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,1,0,1,0,0
0,1,0,0,0,0
1,1,1,1,1,0
1,1,1,1,0,1
0,1,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
